,image_id,class
0,test_1000a,chocolate
1,test_1000b,jam
2,test_1000c,soda
3,test_1000d,water
4,test_1001a,pasta
5,test_1001b,jam
6,test_1001c,jam
7,test_1001d,coffee
8,test_1002a,corn
9,test_1002b,corn
10,test_1002c,coffee
11,test_1002d,jam
12,test_1003a,jam
13,test_1003b,jam
14,test_1003c,jam
15,test_1003d,soda
16,test_1004a,jam
17,test_1004b,jam
18,test_1004c,jam
19,test_1004d,jam
20,test_1005a,soda
21,test_1005b,jam
22,test_1005c,jam
23,test_1005d,jam
24,test_1006a,beans
25,test_1006b,jam
26,test_1006c,soda
27,test_1006d,flour
28,test_1007a,jam
29,test_1007b,beans
30,test_1007c,water
31,test_1007d,jam
32,test_1008a,juice
33,test_1008b,honey
34,test_1008c,sugar
35,test_1008d,jam
36,test_1009a,sugar
37,test_1009b,soda
38,test_1009c,jam
39,test_1009d,jam
40,test_1010a,jam
41,test_1010b,jam
42,test_1010c,cereal
43,test_1010d,jam
44,test_1011a,corn
45,test_1011b,milk
46,test_1011c,coffee
47,test_1011d,jam
48,test_1012a,corn
49,test_1012b,jam
50,test_1012c,jam
51,test_1012d,jam
52,test_1013a,jam
53,test_1013b,soda
54,test_1013c,jam
55,test_1013d,jam
56,test_1014a,jam
57,test_1014b,jam
58,test_1014c,soda
59,test_1014d,water
60,test_1015a,sugar
61,test_1015b,jam
62,test_1015c,tomatosauce
63,test_1015d,soda
64,test_1016a,flour
65,test_1016b,jam
66,test_1016c,juice
67,test_1016d,soda
68,test_1017a,jam
69,test_1017b,jam
70,test_1017c,spices
71,test_1017d,jam
72,test_1018a,jam
73,test_1018b,jam
74,test_1018c,jam
75,test_1018d,flour
76,test_1019a,water
77,test_1019b,jam
78,test_1019c,water
79,test_1019d,sugar
80,test_1020a,beans
81,test_1020b,nuts
82,test_1020c,jam
83,test_1020d,water
84,test_1021a,water
85,test_1021b,jam
86,test_1021c,jam
87,test_1021d,flour
88,test_1022a,corn
89,test_1022b,soda
90,test_1022c,jam
91,test_1022d,jam
92,test_1023a,jam
93,test_1023b,jam
94,test_1023c,jam
95,test_1023d,jam
96,test_1024a,jam
97,test_1024b,honey
98,test_1024c,nuts
99,test_1024d,jam
100,test_1025a,jam
101,test_1025b,tomatosauce
102,test_1025c,jam
103,test_1025d,flour
104,test_1026a,water
105,test_1026b,jam
106,test_1026c,jam
107,test_1026d,jam
108,test_1027a,spices
109,test_1027b,sugar
110,test_1027c,rice
111,test_1027d,jam
112,test_1028a,corn
113,test_1028b,jam
114,test_1028c,corn
115,test_1028d,corn
116,test_1029a,jam
117,test_1029b,corn
118,test_1029c,jam
119,test_1029d,jam
120,test_1030a,chocolate
121,test_1030b,jam
122,test_1030c,nuts
123,test_1030d,jam
124,test_1031a,jam
125,test_1031b,jam
126,test_1031c,soda
127,test_1031d,soda
128,test_1032a,jam
129,test_1032b,jam
130,test_1032c,jam
131,test_1032d,jam
132,test_1033a,corn
133,test_1033b,jam
134,test_1033c,jam
135,test_1033d,soda
136,test_1034a,jam
137,test_1034b,nuts
138,test_1034c,jam
139,test_1034d,jam
140,test_1035a,corn
141,test_1035b,jam
142,test_1035c,jam
143,test_1035d,jam
144,test_1036a,jam
145,test_1036b,jam
146,test_1036c,water
147,test_1036d,sugar
148,test_1037a,soda
149,test_1037b,nuts
150,test_1037c,chocolate
151,test_1037d,flour
152,test_1038a,flour
153,test_1038b,soda
154,test_1038c,nuts
155,test_1038d,jam
156,test_1039a,jam
157,test_1039b,corn
158,test_1039c,soda
159,test_1039d,jam
160,test_1040a,jam
161,test_1040b,nuts
162,test_1040c,chocolate
163,test_1040d,jam
164,test_1041a,jam
165,test_1041b,chocolate
166,test_1041c,soda
167,test_1041d,nuts
168,test_1042a,jam
169,test_1042b,jam
170,test_1042c,jam
171,test_1042d,jam
172,test_1043a,honey
173,test_1043b,tomatosauce
174,test_1043c,jam
175,test_1043d,jam
176,test_1044a,jam
177,test_1044b,jam
178,test_1044c,jam
179,test_1044d,jam
180,test_1045a,jam
181,test_1045b,jam
182,test_1045c,chocolate
183,test_1045d,jam
184,test_1046a,honey
185,test_1046b,corn
186,test_1046c,soda
187,test_1046d,jam
188,test_1047a,jam
189,test_1047b,jam
190,test_1047c,water
191,test_1047d,chocolate
192,test_1048a,milk
193,test_1048b,nuts
194,test_1048c,jam
195,test_1048d,jam
196,test_1049a,jam
197,test_1049b,jam
198,test_1049c,jam
199,test_1049d,cake
200,test_1050a,jam
201,test_1050b,water
202,test_1050c,vinegar
203,test_1050d,jam
204,test_1051a,coffee
205,test_1051b,jam
206,test_1051c,water
207,test_1051d,beans
208,test_1052a,nuts
209,test_1052b,jam
210,test_1052c,jam
211,test_1052d,jam
212,test_1053a,jam
213,test_1053b,jam
214,test_1053c,jam
215,test_1053d,jam
216,test_1054a,flour
217,test_1054b,corn
218,test_1054c,sugar
219,test_1054d,chips
220,test_1055a,nuts
221,test_1055b,jam
222,test_1055c,jam
223,test_1055d,soda
224,test_1056a,jam
225,test_1056b,jam
226,test_1056c,jam
227,test_1056d,jam
228,test_1057a,jam
229,test_1057b,soda
230,test_1057c,soda
231,test_1057d,jam
232,test_1058a,soda
233,test_1058b,corn
234,test_1058c,jam
235,test_1058d,jam
236,test_1059a,soda
237,test_1059b,jam
238,test_1059c,chocolate
239,test_1059d,soda
240,test_1060a,water
241,test_1060b,jam
242,test_1060c,jam
243,test_1060d,jam
244,test_1061a,jam
245,test_1061b,jam
246,test_1061c,jam
247,test_1061d,jam
248,test_1062a,sugar
249,test_1062b,jam
250,test_1062c,jam
251,test_1062d,jam
252,test_1063a,jam
253,test_1063b,corn
254,test_1063c,honey
255,test_1063d,water
256,test_1064a,jam
257,test_1064b,tea
258,test_1064c,sugar
259,test_1064d,pasta
260,test_1065a,jam
261,test_1065b,jam
262,test_1065c,jam
263,test_1065d,water
264,test_1066a,soda
265,test_1066b,jam
266,test_1066c,chocolate
267,test_1066d,nuts
268,test_1067a,cake
269,test_1067b,jam
270,test_1067c,jam
271,test_1067d,pasta
272,test_1068a,jam
273,test_1068b,flour
274,test_1068c,jam
275,test_1068d,soda
276,test_1069a,tomatosauce
277,test_1069b,jam
278,test_1069c,beans
279,test_1069d,jam
280,test_1070a,sugar
281,test_1070b,jam
282,test_1070c,jam
283,test_1070d,jam
284,test_1071a,jam
285,test_1071b,pasta
286,test_1071c,jam
287,test_1071d,jam
288,test_1072a,oil
289,test_1072b,flour
290,test_1072c,jam
291,test_1072d,jam
292,test_1073a,jam
293,test_1073b,jam
294,test_1073c,jam
295,test_1073d,jam
296,test_1074a,soda
297,test_1074b,oil
298,test_1074c,tomatosauce
299,test_1074d,jam
300,test_1075a,jam
301,test_1075b,soda
302,test_1075c,sugar
303,test_1075d,soda
304,test_1076a,nuts
305,test_1076b,corn
306,test_1076c,soda
307,test_1076d,jam
308,test_1077a,jam
309,test_1077b,jam
310,test_1077c,jam
311,test_1077d,jam
312,test_1078a,jam
313,test_1078b,jam
314,test_1078c,chips
315,test_1078d,soda
316,test_1079a,chips
317,test_1079b,jam
318,test_1079c,tomatosauce
319,test_1079d,chocolate
320,test_1080a,jam
321,test_1080b,milk
322,test_1080c,jam
323,test_1080d,jam
324,test_1081a,flour
325,test_1081b,spices
326,test_1081c,milk
327,test_1081d,pasta
328,test_1082a,jam
329,test_1082b,jam
330,test_1082c,jam
331,test_1082d,jam
332,test_1083a,jam
333,test_1083b,jam
334,test_1083c,water
335,test_1083d,oil
336,test_1084a,sugar
337,test_1084b,jam
338,test_1084c,jam
339,test_1084d,jam
340,test_1085a,sugar
341,test_1085b,cake
342,test_1085c,pasta
343,test_1085d,soda
344,test_1086a,oil
345,test_1086b,jam
346,test_1086c,corn
347,test_1086d,jam
348,test_1087a,nuts
349,test_1087b,tomatosauce
350,test_1087c,tomatosauce
351,test_1087d,jam
352,test_1088a,jam
353,test_1088b,corn
354,test_1088c,corn
355,test_1088d,jam
356,test_1089a,water
357,test_1089b,corn
358,test_1089c,jam
359,test_1089d,tomatosauce
360,test_1090a,jam
361,test_1090b,jam
362,test_1090c,jam
363,test_1090d,water
364,test_1091a,jam
365,test_1091b,jam
366,test_1091c,honey
367,test_1091d,jam
368,test_1092a,jam
369,test_1092b,water
370,test_1092c,beans
371,test_1092d,jam
372,test_1093a,jam
373,test_1093b,jam
374,test_1093c,cake
375,test_1093d,jam
376,test_1094a,soda
377,test_1094b,flour
378,test_1094c,jam
379,test_1094d,jam
380,test_1095a,chocolate
381,test_1095b,jam
382,test_1095c,flour
383,test_1095d,jam
384,test_1096a,jam
385,test_1096b,soda
386,test_1096c,soda
387,test_1096d,jam
388,test_1097a,sugar
389,test_1097b,jam
390,test_1097c,jam
391,test_1097d,soda
392,test_1098a,jam
393,test_1098b,jam
394,test_1098c,jam
395,test_1098d,jam
396,test_1099a,jam
397,test_1099b,sugar
398,test_1099c,jam
399,test_1099d,corn
400,test_1100a,sugar
401,test_1100b,water
402,test_1100c,pasta
403,test_1100d,jam
404,test_1101a,chocolate
405,test_1101b,jam
406,test_1101c,pasta
407,test_1101d,jam
408,test_1102a,jam
409,test_1102b,jam
410,test_1102c,jam
411,test_1102d,corn
412,test_1103a,water
413,test_1103b,oil
414,test_1103c,jam
415,test_1103d,jam
416,test_1104a,jam
417,test_1104b,jam
418,test_1104c,nuts
419,test_1104d,candy
420,test_1105a,jam
421,test_1105b,flour
422,test_1105c,jam
423,test_1105d,chocolate
424,test_1106a,pasta
425,test_1106b,oil
426,test_1106c,soda
427,test_1106d,oil
428,test_1107a,jam
429,test_1107b,sugar
430,test_1107c,jam
431,test_1107d,corn
432,test_1108a,jam
433,test_1108b,jam
434,test_1108c,jam
435,test_1108d,jam
436,test_1109a,jam
437,test_1109b,jam
438,test_1109c,jam
439,test_1109d,soda
